"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS","PLAN","GBI_LVL_YR","GBI_MON","TAX_RATE","HH_HOURS1","HH_HOURS2","HH_HOURS3","HH_HOURS4","HH_HOURS5","HH_HOURS6","HH_HOURS7","HH_HOURS8","HH_HOURS9","HH_HOURS10","HH_HOURS11","HH_WAGE1","HH_WAGE2","HH_WAGE3","HH_WAGE4","HH_WAGE5","HH_WAGE6","HH_WAGE7","HH_WAGE8","HH_WAGE9","HH_WAGE10","HH_WAGE11","HH_WAGE0","HH_HOURS0","PAYMENT1","PAYMENT2","PAYMENT3","PAYMENT4","PAYMENT5","PAYMENT6","PAYMENT7","PAYMENT8","PAYMENT9","PAYMENT10","PAYMENT11"
"1",1352,"Winnipeg",2,6,8768,720,0,"Ukrainian","Scottish",12.1777777777778,NA,0,NA,4000,610,6,3800,316.666666666667,0.75,954,66,519,699,781,1581,846,1109,463,1188,1312,632,615,659,649,782,876,876,1032,1061,1086,797,469.666666666667,60,0,0,0,0,0,0,0,0,0,0,0
"2",1358,"Winnipeg",6,5,3850,820,0,"Canadian","Canadian",4.69512195121951,NA,100,NA,0,0,5,5800,483.333333333333,0.5,195,36,0,16,128,976,672,1130,2310,690,1903,395,390,0,396,448,792,792,810,875,1017,1052,583.333333333333,68.3333333333333,285.833333333333,288.333333333333,483.333333333333,285.333333333333,259.333333333333,87.3333333333333,87.3333333333333,78.3333333333333,45.8333333333333,0,0
"3",1443,"Winnipeg",6,9,5850,640,0,"Canadian","Canadian",9.140625,18000,2300,4000,4491,0,9,0,0,0,1291,502,274,921,658,769,846,795,714,699,711,695,800,815,892,725,705,965,705,769,731,743,1046.91666666667,53.3333333333333,0,0,0,0,0,0,0,0,0,0,0
"4",1459,"Winnipeg",6,2,6279,NA,1,NA,"Native Indian non-band",NA,20000,900,NA,300,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1471,"Winnipeg",7,7,5194,NA,1,NA,"Native Indian non-band",NA,NA,0,NA,0,0,7,4800,400,0.75,872,82,176,319,55,220,86,150,72,672,132,190,225,230,213,274,313,353,353,374,435,435,NA,NA,257.5,231.25,227.5,240.25,194.5,165.25,135.25,135.25,119.5,73.75,73.75
"6",1521,"Winnipeg",1,9,13242,NA,0,NA,"Canadian",NA,NA,0,NA,NA,0,9,0,0,0,874,493,312,595,565,720,408,648,519,896,308,241,263,263,288,289,309,309,368,368,404,404,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"7",1523,"Winnipeg",4,9,11330,840,1,"Philippine","Canadian",13.4880952380952,18000,0,NA,200,2100,9,0,0,0,2330,161,1704,1050,720,952,1072,664,1454,1168,1688,547,585,677,692,716,731,805,805,834,880,880,762.166666666667,70,0,0,0,0,0,0,0,0,0,0,0
"8",1568,"Winnipeg",3,3,1146,NA,0,NA,"German",NA,NA,0,NA,5,7100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1574,"Winnipeg",4,6,13872,775,0,"English","English",17.8993548387097,20000,950,NA,4650,655,6,3800,316.666666666667,0.75,1971,491,304,496,520,911,600,416,1178,584,808,710,499,499,396,809,813,813,868,875,545,533,615.083333333333,64.5833333333333,0,0,0,19.6666666666667,0,0,0,0,0,0,0
"10",1581,"Winnipeg",5,9,10723,775,0,"English","English",13.8361290322581,20000,400,NA,600,70,9,0,0,0,1076,69,799,839,576,633,584,337,616,595,732,479,490,568,596,640,640,640,689,689,723,723,870.416666666667,64.5833333333333,0,0,0,0,0,0,0,0,0,0,0
"11",1587,"Winnipeg",4,9,11112,800,1,"African","African",13.89,19000,0,NA,5000,0,9,0,0,0,1693,94,1227,1296,833,1777,1306,927,1628,726,1459,648,674,728,690,757,827,817,842,936,985,963,897,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"12",1698,"Winnipeg",4,4,11596,800,0,NA,NA,14.495,NA,0,NA,300,1000,4,4800,400,0.5,1456,249,1118,2032,694,1220,976,1232,1456,1296,1992,540,622,649,858,877,922,951,1012,1035,1035,1104,610,66.6666666666667,130,89,75.5,0,0,0,0,0,0,0,0
"13",1703,"Winnipeg",4,3,5393,725,0,NA,"Polish",7.43862068965517,NA,1400,NA,7000,0,3,3800,316.666666666667,0.5,1120,101,765,338,284,755,590,90,0,0,0,456,549,289,305,306,306,356,356,356,0,356,281.916666666667,60.4166666666667,88.6666666666667,42.1666666666667,172.166666666667,164.166666666667,163.666666666667,163.666666666667,138.666666666667,138.666666666667,138.666666666667,316.666666666667,138.666666666667
"14",1706,"Winnipeg",3,2,6780,800,0,"Canadian","French",8.475,NA,4000,NA,1800,0,2,4800,400,0.35,696,0,0,558,747,315,0,0,0,0,0,510,0,0,288,289,289,0,0,0,0,0,572.5,66.6666666666667,221.5,400,400,299.2,298.85,298.85,400,400,400,400,400
