"FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS"
1352,"Winnipeg",2,6,8768,720,0,"Ukrainian","Scottish",12.1777777777778,NA,0,NA,4000,610
1358,"Winnipeg",6,5,3850,820,0,"Canadian","Canadian",4.69512195121951,NA,100,NA,0,0
1443,"Winnipeg",6,9,5850,640,0,"Canadian","Canadian",9.140625,18000,2300,4000,4491,0
1459,"Winnipeg",6,2,6279,NA,1,NA,"Native Indian non-band",NA,20000,900,NA,300,1600
1471,"Winnipeg",7,7,5194,NA,1,NA,"Native Indian non-band",NA,NA,0,NA,0,0
1521,"Winnipeg",1,9,13242,NA,0,NA,"Canadian",NA,NA,0,NA,NA,0
1523,"Winnipeg",4,9,11330,840,1,"Philippine","Canadian",13.4880952380952,18000,0,NA,200,2100
1568,"Winnipeg",3,3,1146,NA,0,NA,"German",NA,NA,0,NA,5,7100
1574,"Winnipeg",4,6,13872,775,0,"English","English",17.8993548387097,20000,950,NA,4650,655
1581,"Winnipeg",5,9,10723,775,0,"English","English",13.8361290322581,20000,400,NA,600,70
1587,"Winnipeg",4,9,11112,800,1,"African","African",13.89,19000,0,NA,5000,0
1698,"Winnipeg",4,4,11596,800,0,NA,NA,14.495,NA,0,NA,300,1000
1703,"Winnipeg",4,3,5393,725,0,NA,"Polish",7.43862068965517,NA,1400,NA,7000,0
1706,"Winnipeg",3,2,6780,800,0,"Canadian","French",8.475,NA,4000,NA,1800,0
1758,"Winnipeg",5,4,7966,800,0,NA,"Yugoslavian/Czech/Hungarian",9.9575,30000,0,NA,0,1000
1768,"Winnipeg",3,6,5856,530,0,"Irish","French",11.0490566037736,NA,400,NA,90,0
1776,"Winnipeg",3,1,12432,430,0,"Canadian","Canadian",28.9116279069767,14000,1050,NA,2500,300
1779,"Winnipeg",3,4,4703,1070,0,"English","English",4.39532710280374,NA,2500,NA,1000,850
1794,"Winnipeg",1,1,8716,NA,1,NA,"Philippine",NA,NA,0,NA,560,50
1834,"Winnipeg",2,8,4054,NA,0,NA,NA,NA,30000,0,NA,2100,400
1906,"Winnipeg",1,8,17874,NA,0,NA,"German",NA,NA,0,NA,NA,0
1920,"Winnipeg",5,4,8724,445,0,NA,NA,19.6044943820225,9000,600,NA,500,6500
1959,"Winnipeg",5,4,8479,765,0,"Irish","Ukrainian",11.083660130719,NA,250,NA,0,1775
2006,"Winnipeg",3,8,8095,763,0,"Irish","Irish",10.6094364351245,NA,500,NA,700,1525
2011,"Winnipeg",4,4,9830,655,0,"Canadian","Canadian",15.0076335877863,NA,1000,NA,1300,4250
2039,"Winnipeg",1,8,13875,NA,0,NA,"Ukrainian",NA,NA,0,NA,0,0
2169,"Winnipeg",2,7,12589,400,0,"Scottish",NA,31.4725,NA,400,NA,600,1000
2198,"Winnipeg",4,8,13787,800,0,"German","English",17.23375,27900,2225,NA,NA,840
2219,"Winnipeg",2,9,2513,NA,0,NA,"Canadian",NA,20000,0,NA,NA,0
2233,"Winnipeg",6,4,8803,775,1,"Other","Other",11.3587096774194,NA,100,NA,3800,0
2248,"Winnipeg",4,1,10487,1360,0,NA,NA,7.71102941176471,22500,0,NA,1200,500
2269,"Winnipeg",1,1,25310,NA,0,"Canadian",NA,NA,NA,0,NA,225,6000
2275,"Winnipeg",7,9,4207,400,0,NA,"Canadian",10.5175,NA,NA,NA,0,49
2277,"Winnipeg",4,2,3960,800,0,"English","Ukrainian",4.95,NA,0,NA,0,2500
